Customer Name,Address,Phone Number,Deposit Amount,Rented Location,Number of Room,Cost,Electricity Bill,Water Bill,WIFI Bill,Tax Amount,Total Amount
Sulav Adhikari,Kalanki,9812458078,1000,Kirtipur,1,5000,900,600,500,120,8120
Rajiv Nayak,Kamalpokhari,9812458079,6000,Bhaktapur,5,20000,2000,1200,1000,352,35052
Jagadish Pandey,Samakhusi,9812458080,10000,Lalitpur,4,18000,1000,1000,600,194,30794
Pujan Raj Rai,Jawlakhel,9812458081,3000,Kirtipur,3,15000,1000,1500,1000,212,21712
Swagat Adhikari,Koteshwor,9812458082,2000,Lalitpur,2,10000,1300,1000,1000,301,15601
Amul Dhungel,Sanepa,9812458083,7000,Kirtipur,3,9000,1800,1200,1000,250,22050
Kaushal Pun,Balkhu,9816541491,2000,Bhaktapur,2,11000,2000,1500,500,200,19000
Roshni Shau,Baneshwor,9812458085,5000,Lalitpur,6,15000,1500,1000,800,211,23511
Roshan Shah,Chabel,9812458078,6500,Kirtipur,6,15000,2500,1200,800,318,26318
Preeti Rai,Basantapur,9812458031,2500,Lalitpur,2,7000,1300,1000,700,109,12609
Laxmi Shahi,Patan,9812558070,1800,Kirtipur,1,2000,1200,700,300,188,6188
Asal Adhikari,Baneshwor,9808530383,1500,Bhaktapur,3,15000,1000,850,400,210,18960
